Region,Site,Plant,Rep,Row,OrderGard,Unique,Biomass_g,codedup,Chemo,a_thujene,a_pinene,sabinene,b_pinene,octen_3_ol,myrcene,a_phellandrene,carene,a_terpinene,p_cymene,limonene,beta_ocimene,gama_terpinene,cis_sab_hydrate,trans_sab_hydrate,borneol,terp_4_ol,cym_8_ol,a_terpineol,nerol,isoborneol_formate,thymoquinone,geraniol,geranial,thymol,carvacrol,eugenol,caryophyllene,germ_D,total,totTC
WI,BOL,16,A,11,210,185,1.8272,16A,C,0.022,0.005,0.001,0,0.096,0.024,0.002,0,0.024,0.766,0.006,0,0.143,0.045,0.012,0,0.002,0.01,0,0,0.002,0.391,0,0,0.01,3.666,0,0,0,5.227,3.676
MT,CWN,49,B,11,211,81,0.617,49B,T,0.248,0.034,0.032,0.013,0.043,0.299,0.051,0.016,0.579,1.506,0.142,0.008,2.244,0.245,0.04,0.013,0.033,0,0.022,0,0.013,7.251,0,0,23.198,1.737,0.063,0,0.013,37.844,24.935
MT,CWN,50,A,11,212,42,0.766,50A,C,0.054,0.01,0.005,0.002,0.053,0.059,0.009,0.004,0.063,1.219,0.031,0,0.518,0.037,0.007,0,0.008,0.031,0,0,0.236,2.562,0,0,0.016,3.365,0,0,0,8.293,3.381
WI,BEN,171,B,11,213,131,1.4586,171B,C,0.052,0.01,0.006,0.004,0.382,0.067,0.007,0.004,0.042,0.816,0.023,0,0.507,0.058,0.012,0,0.006,0.013,0.007,0,0.224,0.984,0,0,0.067,7.161,0,0.01,0.01,10.468,7.228
WI,SRD,178,A,11,214,91,1.111,178A,T,0,0,0,0,0.062,0.012,0.007,0.003,0.007,0.748,0.014,0,0.024,0.019,0.003,0,0,0,0,0,0.043,0.664,0,0,0.328,0,0,0,0,1.932,0.328
MT,NH,224,B,11,215,71,0.995,224B,T,0.099,0.02,0.007,0.006,0.088,0.109,0.012,0.007,0.118,1.162,0.047,0,0.529,0.246,0.041,0.013,0.034,0.016,0.024,0,0.435,4.142,0,0,22.734,0.235,0,0,0.002,30.125,22.969
WI,STB,138,A,11,216,73,0.32,138A,T,0.047,0.009,0.003,0,0.167,0.056,0.009,0,0.09,0.265,0.019,0,0.236,0.028,0,0,0,0,0,0,0.069,2.465,0,0,4.01,0.11,0,0,0.018,7.6,4.12
MT,MPG,82,A,11,217,164,0.9337,82A,T,0.258,0.038,0.037,0.014,0.218,0.285,0.045,0.014,0.499,1.629,0.113,0.008,1.044,0.469,0.078,0.04,0.068,0,0.047,0,0.036,6.061,0,0,39.772,3.019,0.093,0,0,53.886,42.791
MT,CWN,44,B,11,218,174,1.2793,44B,C,0.051,0.009,0.004,0.003,0.088,0.048,0.007,0.003,0.048,0.845,0.022,0,0.511,0.027,0.005,0,0,0.015,0.003,0,0.172,2.044,0,0,0.005,2.032,0,0,0,5.942,2.037
WI,BOL,20,A,14,264,19,1.463,20A,C,0.06,0.019,0.003,0,0.217,0.091,0.009,0,0.158,0.788,0.022,0,1.27,0.075,0.012,0,0.007,0,0,0,0,7.437,0,0,0.015,5.053,0,0,0.015,15.251,5.068
WI,SDA,111,A,14,265,349,1.447,111A,T,0.07,0.013,0.012,0,0.265,0.081,0.014,0.005,0.136,0.575,0.034,0,0.269,0.113,0.029,0.009,0.013,0,0.013,0,0.241,3.772,0,0,15.903,0.257,0,0,0,21.824,16.16
MT,NH,11,B,14,266,318,1.5787,11B,T,0.12,0.022,0.008,0,0.017,0.143,0.022,0.002,0.252,0.768,0.061,0,0.489,0.076,0.007,0,0.011,0,0.003,0,0,8.635,0,0,9.265,1.065,0,0,0.009,20.977,10.33
MT,MS,156,B,14,267,321,0.9679,156B,T,0.035,0.007,0.002,0,0.016,0.03,0.006,0.002,0.032,0.391,0.013,0,0.093,0.029,0.005,0,0,0,0,0,0.008,1.567,0,0,4.189,0.219,0,0,0,6.646,4.408
MT,MPG,80,A,14,268,296,1.563,80A,T,0.137,0.028,0.014,0.012,0.035,0.122,0.022,0.011,0.181,0.519,0.057,0,0.428,0.077,0.018,0,0,0,0,0,0,3.903,0,0,8.587,0.685,0,0,0.047,14.882,9.272
MT,MS,152,A,14,269,4,0.891,152A,T,0.029,0.005,0.008,0,0.013,0.04,0.007,0.003,0.062,0.19,0.011,0,0.159,0.02,0,0,0,0,0,0,0,2.877,0,0,3.277,0.174,0,0,0,6.876,3.451
WI,STB,143,A,14,270,332,1.282,143A,T,0.021,0.003,0,0,0.095,0.033,0.006,0.001,0.049,0.189,0.009,0,0.096,0.01,0,0,0,0,0,0,0.036,1.485,0,0,1.401,0,0,0,0,3.434,1.401
WI,STB,139,A,14,271,325,0.8397,139A,C,0.064,0.01,0.01,0,0.361,0.094,0.014,0,0.138,0.579,0.032,0,0.743,0.048,0.005,0,0,0,0,0,0.338,4.009,0,0,0,4.276,0,0.006,0.024,10.751,4.276
MT,MPG,85,B,14,272,327,0.9853,85B,C,0.049,0.009,0.004,0,0.046,0.064,0.008,0.003,0.055,0.293,0.015,0,0.167,0.023,0,0,0,0,0,0,0,2.607,0,0,0.025,6.739,0.005,0,0,10.112,6.764
WI,SDA,120,A,14,273,324,1.128,120A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WI,BEN,168,A,14,274,334,2.339,168A,C,0.052,0.012,0.009,0.004,0.138,0.066,0.011,0.006,0.063,0.287,0.025,0,0.225,0.021,0,0,0,0,0,0,0,1.284,0,0,0.019,3.968,0,0.014,0.019,6.224,3.987
MT,BF,132,B,14,275,333,0.843,132B,C,0.023,0.006,0.001,0,0.037,0.039,0.008,0.004,0.055,0.284,0.01,0,0.276,0.015,0,0,0,0,0,0,0.059,1.674,0,0,0,1.312,0,0,0,3.802,1.312
WI,SRD,182,B,14,276,309,0.902,182B,T,0,0,0,0,0.079,0.038,0.009,0.003,0.054,0.188,0.013,0,0.114,0.011,0,0,0,0,0,0,0.049,2.03,0,0,1.513,0,0,0,0,4.1,1.513
